,rotation,a,b,A,n2,a,b,c,V,n3,r,roundness,error,y1,y2,,Am,Ac,r,Ana,Ana,An,mu,r,g(mu),At
,,[pixel],[pixel],[mm2],,[mm],[mm],[mm],[mm3],,,,,c/a,b/a,,measured,computed,Ac/Am,measured,[mm2],[mm2],,,,[mm2]
,25,609,446,261320,5.85,70.52,60.10,51.62,0,0.00,,,1598.60,0.73,0.85,3,45541.23,3529.84,0.08,29457.69,2283.23,,,,,
,50,597,515,283110,3.81,70.52,60.10,51.62,185020,4.57,19.82,0.38,267.00,0.73,0.85,1,49012.65,3991.70,0.08,34455.85,2806.16,11496.67,1.22,35.35,1.04,
,50,523,456,230210,6.14,70.52,60.10,51.62,0,0.00,,,397.83,0.73,0.85,2,38762.37,2921.89,0.08,15585.46,1174.82,,,,,
,50,598,444,248400,4.31,70.52,60.10,51.62,0,0.00,,,1688.70,0.73,0.85,3,42817.86,3428.48,0.08,22072.23,1767.35,,,,,
,75,584,510,267960,3.30,70.52,60.10,51.62,169910,3.59,25.45,0.49,203.35,0.73,0.85,1,46525.81,3867.69,0.08,21513.48,1788.41,7604.62,1.17,34.36,0.95,
,75,134,6,817,-1.00,70.52,60.10,51.62,0,0.00,,,456.30,0.73,0.85,2,37867.42,2831.11,0.07,10623.29,794.24,,,,,
,75,592,441,237010,3.47,70.52,60.10,51.62,0,0.00,,,1633.10,0.73,0.85,3,40771.33,3321.97,0.08,14969.14,1219.66,,,,,
,100,582,509,261070,2.97,70.52,60.10,51.62,159340,3.13,30.14,0.58,122.29,0.73,0.85,1,45402.38,3775.80,0.08,17084.89,1420.83,5959.22,1.13,33.63,0.90,
,100,445,516,203690,3.06,70.52,60.10,51.62,0,0.00,,,1362.60,0.73,0.85,2,36618.10,2763.85,0.08,7991.69,603.19,,,,,
,100,589,438,230000,3.14,70.52,60.10,51.62,0,0.00,,,1541.60,0.73,0.85,3,40103.22,3243.04,0.08,11816.70,955.58,,,,,
,125,581,507,253760,2.69,70.52,60.10,51.62,149250,2.79,34.21,0.66,113.83,0.73,0.85,1,43533.09,3683.63,0.08,12248.13,1036.40,4606.43,1.10,32.91,0.85,
,125,520,446,204000,2.94,70.52,60.10,51.62,0,0.00,,,296.69,0.73,0.85,2,34902.57,2696.39,0.08,5980.04,461.99,,,,,
,125,591,435,224730,2.86,70.52,60.10,51.62,0,0.00,,,1621.30,0.73,0.85,3,39169.80,3163.88,0.08,9964.06,804.83,,,,,
,150,577,503,244780,2.48,70.52,60.10,51.62,140680,2.55,37.57,0.73,87.36,0.73,0.85,1,42213.73,3601.88,0.09,11640.48,993.22,3929.49,1.08,32.26,0.81,
,150,440,513,186140,2.30,70.52,60.10,51.62,0,0.00,,,1094.40,0.73,0.85,2,33928.93,2636.55,0.08,5267.76,409.35,,,,,
,150,587,435,217750,2.58,70.52,60.10,51.62,0,0.00,,,1447.30,0.73,0.85,3,37087.34,3093.66,0.08,6739.45,562.18,,,,,
,175,557,502,233860,2.41,66.78,60.10,51.62,130470,2.48,39.57,0.77,257.07,0.77,0.90,1,40545.14,3383.93,0.08,7953.82,663.83,3153.76,1.07,31.46,0.80,
,175,121,6,678,4.24,66.78,60.10,51.62,0,0.00,,,350.06,0.77,0.90,2,32242.00,2615.73,0.08,5233.86,424.61,,,,,
,175,2288,998,2266100,14.00,66.78,60.10,51.62,0,0.00,,,"6943,01,01",0.77,0.90,3,36281.65,2906.47,0.08,6097.12,488.43,,,,,
,200,542,500,221800,2.25,65.92,60.10,51.62,120940,2.29,42.09,0.82,100.51,0.78,0.91,1,38522.13,3260.90,0.08,8134.05,688.55,2326.05,1.04,30.68,0.76,
,200,513,438,185910,2.32,65.92,60.10,51.62,0,0.00,,,89.62,0.78,0.91,2,32286.77,2553.52,0.08,2208.09,174.63,,,,,
,200,554,438,206530,2.57,65.92,60.10,51.62,0,0.00,,,1232.30,0.78,0.91,3,34866.75,2800.79,0.08,3732.72,299.84,,,,,
,225,550,500,212900,1.93,64.65,58.20,51.62,110390,2.18,44.16,0.86,177.96,0.80,0.90,1,,,,,,,,,,
,225,500,509,193980,1.86,64.65,58.20,51.62,0,0.00,,,583.35,0.80,0.90,2,,,,,,,,,,
